Constituency Number,Constituency Name,Serial Number,Candidate Name,Party,EVM Votes,Postal Votes,Total Votes,Vote Percentage
1,VALMIKI NAGAR,1,DHIRENDRA PRATAP SINGH ALIAS RINKU SINGH,Janata Dal (United),105771,284,106055,45.39
1,VALMIKI NAGAR,2,RAMESHWAR YADAV,Bahujan Samaj Party,5294,18,5312,2.27
1,VALMIKI NAGAR,3,SURENDRA PRASAD,Indian National Congress,107374,356,107730,46.11
1,VALMIKI NAGAR,4,RAJESH SHARMA,Lok Samaj Party,2301,2,2303,0.99
1,VALMIKI NAGAR,5,AZHARUDDIN ANSARI,Independent,1553,1,1554,0.67
1,VALMIKI NAGAR,6,MAHMAD JALIL,Independent,2426,0,2426,1.04
1,VALMIKI NAGAR,7,SURENDRA RAM,Independent,1850,2,1852,0.79
1,VALMIKI NAGAR,8,NOTA,None of the Above,6391,9,6400,2.74
2,RAMNAGAR,1,AADITYA KUMAR,Bahujan Samaj Party,2649,14,2663,1.25
2,RAMNAGAR,2,NAND KISHOR RAM,Bharatiya Janata Party,114958,256,115214,54.13
2,RAMNAGAR,3,SUBODH KUMAR,Rashtriya Janata Dal,79216,318,79534,37.36
2,RAMNAGAR,4,PAPPU KUMAR RANJAN,Jan Suraaj Party,6933,59,6992,3.28
2,RAMNAGAR,5,LALAN PASWAN,Nationalist Congress Party,613,5,618,0.29
2,RAMNAGAR,6,VASHISHTHA PASWAN,Suheldev Bharatiya Samaj Party,1515,2,1517,0.71
2,RAMNAGAR,7,ANGAD RAM,Independent,1842,0,1842,0.87
2,RAMNAGAR,8,SANTOSH RAM,Independent,2294,1,2295,1.08
2,RAMNAGAR,9,NOTA,None of the Above,2178,6,2184,1.03
3,NARKATIAGANJ,1,DEEPAK YADAV,Rashtriya Janata Dal,73355,231,73586,37.41
3,NARKATIAGANJ,2,MD MOTIUR RAHMAN,Bahujan Samaj Party,941,10,951,0.48
3,NARKATIAGANJ,3,SHASHWAT KEDAR,Indian National Congress,5259,129,5388,2.74
3,NARKATIAGANJ,4,SANJAY KUMAR PANDEY,Bharatiya Janata Party,99815,229,100044,50.86
3,NARKATIAGANJ,5,DILSHAD AHMAD,Fauji Janta Party,1236,2,1238,0.63
3,NARKATIAGANJ,6,MOHAMMAD RASHID AZIM,Nationalist Congress Party,289,2,291,0.15
3,NARKATIAGANJ,7,MD. WASIULLAH,Jan Suraaj Party,4202,36,4238,2.15
3,NARKATIAGANJ,8,ISHTEYAK AHAMAD,Independent,3823,8,3831,1.95
3,NARKATIAGANJ,9,DHRUP RAM,Independent,676,0,676,0.34
3,NARKATIAGANJ,10,MAYA DEVI,Independent,2314,23,2337,1.19
3,NARKATIAGANJ,11,RAJENDRA PRASAD YADAV,Independent,1205,0,1205,0.61
3,NARKATIAGANJ,12,SAMEER SUNU,Independent,703,0,703,0.36
3,NARKATIAGANJ,13,NOTA,None of the Above,2201,2,2203,1.12
4,BAGAHA,1,JAYESH MANGALAM SINGH,Indian National Congress,100165,397,100562,44.59
4,BAGAHA,2,RAM SINGH,Bharatiya Janata Party,106638,237,106875,47.39
4,BAGAHA,3,NANDESH PANDEY URF CHUNNU PANDEY,Jan Suraaj Party,5758,41,5799,2.57
4,BAGAHA,4,MAHFOOZ ALAM,Aazad Samaj Party (Kanshi Ram),2648,11,2659,1.18
4,BAGAHA,5,RAHUL TIWARI,Right to Recall Party,1110,1,1111,0.49
4,BAGAHA,6,SHAILESH KUMAR CHAUDHARY,Bharat Jan Jagran Dal,1028,0,1028,0.46
4,BAGAHA,7,DINESH AGRAWAL,Independent,4231,8,4239,1.88
4,BAGAHA,8,NOTA,None of the Above,3253,6,3259,1.45
5,LAURIYA,1,MOHAMMAD HAROON,Bahujan Samaj Party,3426,16,3442,1.8
5,LAURIYA,2,VINAY BIHARI,Bharatiya Janata Party,96225,285,96510,50.36
5,LAURIYA,3,PAPPU KUMAR THAKUR,The Plurals Party,4030,5,4035,2.11
5,LAURIYA,4,RAN KAUSHAL PRATAP SINGH,Vikassheel Insaan Party,69214,330,69544,36.29
5,LAURIYA,5,SUNIL KUMAR,Jan Suraaj Party,15609,113,15722,8.2
5,LAURIYA,6,NOTA,None of the Above,2385,9,2394,1.25
6,NAUTAN,1,AMIT KUMAR,Indian National Congress,79525,355,79880,38.43
6,NAUTAN,2,NARAYAN PRASAD,Bharatiya Janata Party,101725,227,101952,49.05
6,NAUTAN,3,VIRENDRA RAO,Bahujan Samaj Party,2700,14,2714,1.31
6,NAUTAN,4,AJEET KUMAR SAH,Janshakti Janta Dal,779,3,782,0.38
6,NAUTAN,5,JAI PRAKASH,Nationalist Congress Party,268,2,270,0.13
6,NAUTAN,6,SANJAY PRASAD ALIAS SANJAY KUMAR SINGH,Apni Janta Party,816,6,822,0.4
6,NAUTAN,7,SANTOSH CHAUDHARI,Jan Suraaj Party,12028,54,12082,5.81
6,NAUTAN,8,CHITRANJAN KUMAR PATEL,Independent,1530,3,1533,0.74
6,NAUTAN,9,MOHAMMAD ALI,Independent,643,2,645,0.31
6,NAUTAN,10,BIPIN BIHARI PANDEY,Independent,1990,0,1990,0.96
6,NAUTAN,11,SIKANDAR RAM,Independent,1943,0,1943,0.93
6,NAUTAN,12,NOTA,None of the Above,3215,5,3220,1.55
7,CHANPATIA,1,ABHISHEK RANJAN,Indian National Congress,87132,406,87538,40.07
7,CHANPATIA,2,UMAKANT SINGH,Bharatiya Janata Party,86714,222,86936,39.8
7,CHANPATIA,3,TRIPURARI KUMAR TIWARI ALIAS MANISH KASHYAP,Jan Suraaj Party,37057,115,37172,17.02
7,CHANPATIA,4,BIPIN TIWARI ALIAS BIPIN NATH TIWARI,Loktantrik Jan Swaraj Party,2106,2,2108,0.96
7,CHANPATIA,5,MOHAMMAD SOAIB,Independent,2091,1,2092,0.96
7,CHANPATIA,6,NOTA,None of the Above,2606,3,2609,1.19
8,BETTIAH,1,RENU DEVI,Bharatiya Janata Party,91621,286,91907,46.78
8,BETTIAH,2,WASHI AHMAD,Indian National Congress,69258,276,69534,35.39
8,BETTIAH,3,ANIL KUMAR SINGH,Jan Suraaj Party,6245,52,6297,3.21
8,BETTIAH,4,CHHATHU SHARMA,Jagrook Janta Party,780,0,780,0.4
8,BETTIAH,5,SATISH KUMAR,Sudharwadi Party,1300,0,1300,0.66
8,BETTIAH,6,ROHIT KUMAR SIKARIA,Independent,24478,187,24665,12.55
8,BETTIAH,7,NOTA,None of the Above,1977,4,1981,1.01
