Date,Region,Product,Units,Price
2024-01-01,South,A,24,48.05
2024-01-02,West,B,21,46.22
2024-01-03,North,B,11,41.84
2024-01-04,North,B,9,46.61
2024-01-05,West,A,16,15.82
2024-01-06,South,A,21,16.31
2024-01-07,West,B,21,17.51
2024-01-08,South,B,16,34.9
2024-01-09,West,C,15,46.23
2024-01-10,North,A,16,49.6
2024-01-11,North,B,22,38.44
2024-01-12,South,C,15,39.27
2024-01-13,North,C,12,46.37
2024-01-14,West,A,21,26.03
2024-01-15,South,B,21,19.99
2024-01-16,North,B,21,16.94
2024-01-17,East,A,22,14.78
2024-01-18,South,A,11,42.5
2024-01-19,East,A,22,15.87
2024-01-20,North,C,24,20.57
2024-01-21,East,A,17,42.76
2024-01-22,South,B,15,22.42
2024-01-23,East,A,20,49.3
2024-01-24,North,B,17,20.67
2024-01-25,West,A,23,31.35
2024-01-26,North,A,30,22.58
2024-01-27,East,C,27,46.43
2024-01-28,North,A,18,24.66
2024-01-29,South,B,21,27.34
2024-01-30,East,C,19,30.49
2024-01-31,East,A,15,47.56
2024-02-01,North,B,14,11.24
2024-02-02,West,B,25,38.68
2024-02-03,West,A,15,45.64
2024-02-04,South,C,14,11.09
2024-02-05,South,A,18,30.88
2024-02-06,West,A,21,23.04
2024-02-07,East,A,19,44.38
2024-02-08,North,A,24,32.34
2024-02-09,East,B,20,37.61
2024-02-10,South,C,19,28.11
2024-02-11,South,A,21,35.13
2024-02-12,South,B,24,21.6
2024-02-13,West,A,10,10.37
2024-02-14,West,C,21,33.07
2024-02-15,South,B,21,22.46
2024-02-16,East,C,17,30.69
2024-02-17,South,A,23,46.66
2024-02-18,South,A,24,27.06
2024-02-19,North,C,26,19.9
2024-02-20,North,C,22,24.85
2024-02-21,South,C,18,47.27
2024-02-22,North,A,19,47.47
2024-02-23,North,B,22,43.77
2024-02-24,South,C,15,46.81
2024-02-25,West,C,18,19.12
2024-02-26,West,C,22,13.5
2024-02-27,East,C,20,19.09
2024-02-28,South,A,21,22.58
2024-02-29,North,C,20,16.99
2024-03-01,East,B,21,34.28
2024-03-02,West,B,18,26.54
2024-03-03,West,C,18,42.65
2024-03-04,East,A,23,17.41
2024-03-05,South,C,15,38.08
2024-03-06,South,A,18,19.61
2024-03-07,South,C,21,32.97
2024-03-08,West,B,27,23.96
2024-03-09,North,B,16,12.28
2024-03-10,North,B,15,19.15
2024-03-11,South,C,23,36.56
2024-03-12,West,B,19,29.89
2024-03-13,North,B,16,30.76
2024-03-14,East,A,20,16.99
2024-03-15,North,C,15,32.83
2024-03-16,North,A,21,49.87
2024-03-17,South,B,16,42.67
2024-03-18,West,A,24,33.77
2024-03-19,South,B,18,49.04
2024-03-20,East,B,25,46.06
2024-03-21,West,A,13,33.82
2024-03-22,North,B,23,11.3
2024-03-23,North,B,24,13.74
2024-03-24,South,B,24,12.61
2024-03-25,West,C,17,28.07
2024-03-26,East,B,22,25.02
2024-03-27,West,A,24,49.01
2024-03-28,West,A,17,16.72
2024-03-29,East,C,27,48.91
2024-03-30,South,B,20,40.7
2024-03-31,North,A,18,42.97
2024-04-01,East,A,15,35.3
2024-04-02,South,B,23,36.75
2024-04-03,West,C,19,29.08
2024-04-04,West,B,16,10.53
2024-04-05,East,B,23,24.12
2024-04-06,West,A,11,29.68
2024-04-07,South,B,16,39.2
2024-04-08,North,A,17,28.75
2024-04-09,West,B,21,28.3
2024-04-10,South,A,18,15.51
2024-04-11,South,B,20,10.44
2024-04-12,West,B,19,40.33
2024-04-13,East,B,16,22.8
2024-04-14,North,B,12,49.38
2024-04-15,North,A,13,18.81
2024-04-16,East,C,24,23.55
2024-04-17,East,B,24,30.96
2024-04-18,West,A,25,40.2
2024-04-19,West,A,25,28.55
2024-04-20,West,C,14,14.99
2024-04-21,West,B,19,22.5
2024-04-22,South,A,19,30.18
2024-04-23,West,C,19,36.95
2024-04-24,West,C,20,40.81
2024-04-25,North,C,24,15.21
2024-04-26,East,A,27,10.92
2024-04-27,East,B,24,30.76
2024-04-28,East,B,22,42.4
2024-04-29,North,B,20,10.5
